"Block"	"Row"	"Column"	"ID"	"Name"	"CDI9059098R_HMN1098196-00001_Young_09222023_0001_A1"	"CDI9059099R_HMN688802-00011_Young_09222023_0002_A1"	"CDI9059100R_HMN742453-00002_Young_09222023_0003_A1"	"CDI9059101R_HMN742467-00002_Young_09222023_0004_A1"	"CDI9059102R_HMN742479-00002_Young_09222023_0005_A1"	"CDI9059103R_HMN763660-00002_Young_09222023_0006_A1"	"CDI9059104R_HMN775050-00002_Young_09222023_0007_A1"	"CDI9059105R_HMN775067-00001_Young_09222023_0008_A1"	"CDI9059106R_HMN791983-00002_Young_09222023_0009_A1"	"CDI9059107R_HMN820800-00002_Young_09222023_0010_A1"	"CDI9059108R_HMN833599-00003_Young_09222023_0011_A1"	"CDI9059109R_HMN870353-00004_Young_09222023_0012_A1"	"CDI9059110R_HMN1096847-00001_Old_09222023_0013_A1"	"CDI9059111R_HMN1096848-00001_Old_09222023_0014_A1"	"CDI9059112R_HMN1096849-00001_Old_09222023_0015_A1"	"CDI9059114R_HMN1096851-00001_Old_09222023_0017_A1"	"CDI9059115R_HMN1096852-00001_Old_09222023_0018_A1"	"CDI9059116R_HMN1096853-00001_Old_09222023_0019_A1"	"CDI9059117R_HMN636469-00027_Old_09222023_0020_A1"	"CDI9059118R_HMN676715-00005_Old_09222023_0021_A1"	"CDI9059119R_HMN774785-00002_Old_09222023_0022_A1"	"CDI9059120R_HMN804630-00001_Old_09222023_0023_A1"	"CDI9059121R_HMN846402-00016_Old_09222023_0024_A1"
1	91	31	"Control"	"H4"	7.5077946401987	7.11879171767966	7.25091859245115	7.04975609599761	7.5633522364216	7.17346459805162	7.71734668838634	7.67169697081071	7.6914977296107	7.62913578814143	7.72624932884639	7.72103437615336	7.99512955630709	7.76830574331289	7.49806018151652	7.86413299399053	7.61152948518246	7.52899586137959	7.3576860915602	8.08995454500747	7.59922252072618	7.55638264094266	7.25203705726029
1	91	32	"Control"	"ERa"	7.09556817271909	7.02789540728295	6.97727992349992	6.85065323097931	7.27870193364235	6.91277755043541	7.21313237735105	7.22801674764459	7.60255297131972	6.92333284094987	7.44707730384053	7.37921572045013	9.06248471073622	7.40181331763015	7.08707273388025	7.58119566437845	7.12895170986946	7.18765549873654	7.4764843487855	7.20436389025541	7.14745394047683	7.47850566299696	7.09045962233216
2	91	1	"Control"	"Rhodamine+IgG647"	13.0908254042062	13.4301101189102	13.0812330637827	12.2760854070735	13.2978937609903	12.7182263927768	12.8746379396395	13.3706496508042	12.9242872116725	13.8304919849819	13.6000239389936	13.7062396992542	13.5632509915294	13.5259326728948	13.4509274855371	13.2492064710896	13.367903679676	13.336588392306	13.2397724689427	13.5091780250138	13.4414577279107	13.3925590846058	13.1062448807819
2	91	2	"Control"	"Anti-human IgG 1.5625ng/ul"	6.91585154960715	6.95414939500066	6.86989030488663	6.88181367586381	7.01369384702638	7.23513878088527	7.12325897159446	7.40904140976509	7.07324456242882	7.06464150847248	7.3801000755061	7.33483009011928	7.04232116109398	7.40287193607581	7.47950287601551	6.93537500167306	7.24699025203522	6.91188263989483	6.70017289826735	7.09417851580426	7.13595033619577	7.13777127804336	6.77609437977858
2	91	3	"Control"	"IgG488/594"	10.4203689882774	10.3981339005599	9.98029937225096	9.84419260696927	10.7560736398567	10.3349537661764	10.7347682475019	10.5444355178216	10.1995127203999	10.6108820528095	10.6973527563279	10.8080123402038	10.9663899622303	10.8673316591003	10.1971742989407	10.8655629592043	10.4808714436306	10.7066874225998	10.3162815317462	10.8221572219365	10.3006664131098	10.4789566335198	10.3194852768217
2	91	4	"Control"	"Anti-human IgG 6.25ng/ul"	6.89231742277876	7.26190347909366	6.69803477881993	6.86193710943195	7.17712469097262	6.71418008635215	7.76208719169378	7.87543198719338	7.45887250672161	7.27747426068093	7.54983827742982	7.57161187806193	7.43015552745974	7.4344112773875	7.70938749816596	7.07487355975234	6.99252070167158	7.21669491737254	7.00140750780353	7.16166814464009	7.10579207653976	7.36225692655997	7.07538930391102
2	91	5	"Control"	"GST 10ng/ul"	6.97144049857952	7.06060485820464	7.08566659791756	6.8137669422364	7.64270110943112	6.80620389656933	7.07097372915781	7.68831707540048	7.31285442153223	7.17346459805162	7.21916852046216	7.56821522667403	7.46347227139936	7.16402187521454	7.62712679598426	7.14457717686168	7.06028094822145	7.09799364901425	6.971532104081	7.12337029924657	6.87650388447262	7.27311565213038	6.93460412527541
2	91	6	"Control"	"Anti-human IgG 25ng/ul"	7.02929185087013	7.37566741820067	7.06121179767709	6.79669556139587	7.51679753422586	7.01018616194224	7.61710933911924	7.52704776027537	7.36650766084298	7.14421677339655	7.11901573865054	7.45111688885986	7.48300484407652	7.40936597558404	7.70370027703432	7.28076331206824	7.12629576099981	7.21165645720444	6.54348275155504	7.43806660002151	6.54736875252405	7.43614505514405	6.89527606890269
2	91	7	"Control"	"GST 50ng/ul"	6.92480028741874	7.01619508443326	6.82653448828996	6.31056805663732	7.0659284803044	6.57725084693238	7.17990909001493	7.31285442153223	6.97687088038125	7.00561362771163	7.07538930391102	7.32333560269089	7.33080555475772	7.0493450483368	7.36920448790691	7.09664716915792	6.75439258103226	7.01619508443326	6.63441718467188	7.22878662989362	6.73201757609496	7.32524541658448	6.77042726605682
2	91	8	"Control"	"Anti-human IgG 100ng/ul"	7.53085435233031	7.306722085336	7.18602441263639	6.99363200603627	7.786335311969	7.26532508987501	7.70035634753198	7.51937377810866	7.19903781145493	7.17387988160969	7.49076134376218	7.45118755724301	7.62403790458848	7.3811910193552	7.60725442836223	7.32812862710549	7.13056998877688	7.15700835195068	7.03072778903137	7.49491897786818	7.00966505119504	7.37462046951116	7.27950926167339
